country_name,year,count
Aruba,1960,54211
Afghanistan,1960,8996973
Angola,1960,5454933
Albania,1960,1608800
Andorra,1960,13411
United Arab Emirates,1960,92418
Argentina,1960,20481779
Armenia,1960,1874121
American Samoa,1960,20123
Antigua and Barbuda,1960,54131
Australia,1960,10276477
Austria,1960,7047539
Azerbaijan,1960,3895397
Burundi,1960,2797932
Belgium,1960,9153489
Benin,1960,2431622
Burkina Faso,1960,4829288
Bangladesh,1960,48013504
Bulgaria,1960,7867374
Bahrain,1960,162427
"Bahamas, The",1960,109534
Bosnia and Herzegovina,1960,3225668
Belarus,1960,8198000
Belize,1960,92064
Bermuda,1960,44400
Bolivia,1960,3656955
Brazil,1960,72179226
Barbados,1960,230980
Brunei Darussalam,1960,81702
Bhutan,1960,223288
Botswana,1960,502745
Central African Republic,1960,1501668
Canada,1960,17909009
Switzerland,1960,5327827
Channel Islands,1960,109420
Chile,1960,8132990
China,1960,667070000
Cote d'Ivoire,1960,3503553
Cameroon,1960,5176918
"Congo, Dem. Rep.",1960,15248251
"Congo, Rep.",1960,1018253
Colombia,1960,16057724
Comoros,1960,191121
Cabo Verde,1960,201765
Costa Rica,1960,1330782
Caribbean small states,1960,4194710
Cuba,1960,7141250
Curacao,1960,124826
Cayman Islands,1960,7865
Cyprus,1960,572930
Czech Republic,1960,9602006
Germany,1960,72814900
Djibouti,1960,83636
Dominica,1960,60011
Denmark,1960,4579603
Dominican Republic,1960,3294224
Algeria,1960,11057863
Ecuador,1960,4543666
"Egypt, Arab Rep.",1960,26632894
Eritrea,1960,1007590
Spain,1960,30455000
Estonia,1960,1211537
Ethiopia,1960,22151278
Finland,1960,4429634
Fiji,1960,393481
France,1960,46621669
Faroe Islands,1960,34615
"Micronesia, Fed. Sts.",1960,44514
Gabon,1960,500928
United Kingdom,1960,52400000
Georgia,1960,3645600
Ghana,1960,6635230
Gibraltar,1960,23420
Guinea,1960,3494162
"Gambia, The",1960,365047
Guinea-Bissau,1960,616136
Equatorial Guinea,1960,255333
Greece,1960,8331725
Grenada,1960,89932
Greenland,1960,32500
Guatemala,1960,4210747
Guam,1960,66742
Guyana,1960,571819
"Hong Kong SAR, China",1960,3075605
Honduras,1960,2038632
Croatia,1960,4140181
Haiti,1960,3866159
Hungary,1960,9983967
Indonesia,1960,87751068
Isle of Man,1960,48442
India,1960,450547679
Ireland,1960,2828600
"Iran, Islamic Rep.",1960,21906914
Iraq,1960,7289760
Iceland,1960,175574
Israel,1960,2114020
Italy,1960,50199700
Jamaica,1960,1628520
Jordan,1960,933102
Japan,1960,92500572
Kazakhstan,1960,9934563
Kenya,1960,8120080
Kyrgyz Republic,1960,2172300
Cambodia,1960,5722370
Kiribati,1960,41202
St. Kitts and Nevis,1960,51195
"Korea, Rep.",1960,25012374
Kuwait,1960,269029
Lao PDR,1960,2120898
Lebanon,1960,1804941
Liberia,1960,1118657
Libya,1960,1448417
St. Lucia,1960,89697
Liechtenstein,1960,16493
